agency_cd	site_no	parameter_cd	dd_nu	year_nu	month_nu	mean_va
USGS	14064500	00060	5	1949	4	1172
USGS	14064500	00060	5	1949	5	2005
USGS	14064500	00060	5	1949	6	2189
USGS	14064500	00060	5	1949	7	2413
USGS	14064500	00060	5	1949	8	2137
USGS	14064500	00060	5	1949	9	1920
USGS	14064500	00060	5	1949	10	1075
USGS	14064500	00060	5	1949	11	598.4
USGS	14064500	00060	5	1949	12	611.3
USGS	14064500	00060	5	1950	1	579.7
USGS	14064500	00060	5	1950	2	780.2
USGS	14064500	00060	5	1950	3	1126
USGS	14064500	00060	5	1950	4	1425
USGS	14064500	00060	5	1950	5	2178
USGS	14064500	00060	5	1950	6	2342
USGS	14064500	00060	5	1950	7	2640
USGS	14064500	00060	5	1950	8	2547
USGS	14064500	00060	5	1950	9	2272
USGS	14064500	00060	5	1950	10	1241
USGS	14064500	00060	5	1950	11	892.4
USGS	14064500	00060	5	1950	12	1072
USGS	14064500	00060	5	1951	1	1063
USGS	14064500	00060	5	1951	2	1620
USGS	14064500	00060	5	1951	3	1585
USGS	14064500	00060	5	1951	4	1903
USGS	14064500	00060	5	1951	5	2197
USGS	14064500	00060	5	1951	6	2541
USGS	14064500	00060	5	1951	7	2716
USGS	14064500	00060	5	1951	8	2711
USGS	14064500	00060	5	1951	9	2316
USGS	14064500	00060	5	1951	10	1899
USGS	14064500	00060	5	1951	11	1218
USGS	14064500	00060	5	1951	12	893.5
USGS	14064500	00060	5	1952	1	830.6
USGS	14064500	00060	5	1952	2	947.1
USGS	14064500	00060	5	1952	3	1422
USGS	14064500	00060	5	1952	4	2103
USGS	14064500	00060	5	1952	5	2445
USGS	14064500	00060	5	1952	6	3017
USGS	14064500	00060	5	1952	7	2926
USGS	14064500	00060	5	1952	8	2795
USGS	14064500	00060	5	1952	9	2224
USGS	14064500	00060	5	1952	10	1727
USGS	14064500	00060	5	1952	11	741.4
USGS	14064500	00060	5	1952	12	701.3
USGS	14064500	00060	5	1953	1	910.0
USGS	14064500	00060	5	1953	2	1134
USGS	14064500	00060	5	1953	3	1095
USGS	14064500	00060	5	1953	4	1507
USGS	14064500	00060	5	1953	5	2153
USGS	14064500	00060	5	1953	6	2123
USGS	14064500	00060	5	1953	7	2812
USGS	14064500	00060	5	1953	8	2591
USGS	14064500	00060	5	1953	9	2144
USGS	14064500	00060	5	1953	10	1513
USGS	14064500	00060	5	1953	11	1112
USGS	14064500	00060	5	1953	12	1264
USGS	14064500	00060	5	1954	1	1353
USGS	14064500	00060	5	1954	2	1500
USGS	14064500	00060	5	1954	3	1505
USGS	14064500	00060	5	1954	4	1898
USGS	14064500	00060	5	1954	5	2471
USGS	14064500	00060	5	1954	6	2259
USGS	14064500	00060	5	1954	7	2860
USGS	14064500	00060	5	1954	8	2545
USGS	14064500	00060	5	1954	9	1970
USGS	14064500	00060	5	1954	10	1248
USGS	14064500	00060	5	1954	11	807.8
USGS	14064500	00060	5	1954	12	823.6
USGS	14064500	00060	5	1955	1	1041
USGS	14064500	00060	5	1955	2	1214
USGS	14064500	00060	5	1955	3	1355
USGS	14064500	00060	5	1955	4	1552
USGS	14064500	00060	5	1955	5	2013
USGS	14064500	00060	5	1955	6	2549
USGS	14064500	00060	5	1955	7	2515
USGS	14064500	00060	5	1955	8	2498
USGS	14064500	00060	5	1955	9	1917
USGS	14064500	00060	5	1955	10	1342
USGS	14064500	00060	5	1955	11	719.0
USGS	14064500	00060	5	1955	12	934.6
USGS	14064500	00060	5	1956	1	1037
USGS	14064500	00060	5	1956	2	848.7
USGS	14064500	00060	5	1956	3	938.0
USGS	14064500	00060	5	1956	4	1769
USGS	14064500	00060	5	1956	5	2521
USGS	14064500	00060	5	1956	6	2543
USGS	14064500	00060	5	1956	7	2901
USGS	14064500	00060	5	1956	8	2726
USGS	14064500	00060	5	1956	9	2486
USGS	14064500	00060	5	1956	10	2089
USGS	14064500	00060	5	1956	11	1071
USGS	14064500	00060	5	1956	12	1086
USGS	14064500	00060	5	1957	1	1133
USGS	14064500	00060	5	1957	2	1462
USGS	14064500	00060	5	1957	3	1968
USGS	14064500	00060	5	1957	4	1931
USGS	14064500	00060	5	1957	5	2269
USGS	14064500	00060	5	1957	6	2814
USGS	14064500	00060	5	1957	7	2938
USGS	14064500	00060	5	1957	8	2655
USGS	14064500	00060	5	1957	9	2265
USGS	14064500	00060	5	1957	10	1284
USGS	14064500	00060	5	1957	11	864.3
USGS	14064500	00060	5	1957	12	914.0
USGS	14064500	00060	5	1958	1	909.4
USGS	14064500	00060	5	1958	2	1379
USGS	14064500	00060	5	1958	3	1369
USGS	14064500	00060	5	1958	4	1499
USGS	14064500	00060	5	1958	5	2474
USGS	14064500	00060	5	1958	6	2398
USGS	14064500	00060	5	1958	7	2800
USGS	14064500	00060	5	1958	8	2729
USGS	14064500	00060	5	1958	9	2243
USGS	14064500	00060	5	1958	10	1693
USGS	14064500	00060	5	1958	11	953.0
USGS	14064500	00060	5	1958	12	947.0
USGS	14064500	00060	5	1959	1	978.5
USGS	14064500	00060	5	1959	2	1081
USGS	14064500	00060	5	1959	3	1149
USGS	14064500	00060	5	1959	4	1809
USGS	14064500	00060	5	1959	5	2114
USGS	14064500	00060	5	1959	6	2512
USGS	14064500	00060	5	1959	7	2590
USGS	14064500	00060	5	1959	8	2391
USGS	14064500	00060	5	1959	9	1829
USGS	14064500	00060	5	1959	10	1192
USGS	14064500	00060	5	1959	11	634.4
USGS	14064500	00060	5	1959	12	612.6
USGS	14064500	00060	5	1960	1	603.2
USGS	14064500	00060	5	1960	2	668.4
USGS	14064500	00060	5	1960	3	737.6
USGS	14064500	00060	5	1960	4	1352
USGS	14064500	00060	5	1960	5	1997
USGS	14064500	00060	5	1960	6	2593
USGS	14064500	00060	5	1960	7	2634
USGS	14064500	00060	5	1960	8	2295
USGS	14064500	00060	5	1960	9	1897
USGS	14064500	00060	5	1960	10	1134
USGS	14064500	00060	5	1960	11	658.9
USGS	14064500	00060	5	1960	12	656.3
USGS	14064500	00060	5	1961	1	593.0
USGS	14064500	00060	5	1961	2	757.6
USGS	14064500	00060	5	1961	3	692.5
USGS	14064500	00060	5	1961	4	1077
USGS	14064500	00060	5	1961	5	1782
USGS	14064500	00060	5	1961	6	2257
USGS	14064500	00060	5	1961	7	2583
USGS	14064500	00060	5	1961	8	2356
USGS	14064500	00060	5	1961	9	1850
USGS	14064500	00060	5	1961	10	1080
USGS	14064500	00060	5	1961	11	622.5
USGS	14064500	00060	5	1961	12	631.7
USGS	14064500	00060	5	1962	1	617.1
USGS	14064500	00060	5	1962	2	652.4
USGS	14064500	00060	5	1962	3	642.0
